itemID,name,itemDur
382,"Glistering Melon (Slice)",
383,"Spawn Egg (Creeper)",50
383,"Spawn Egg (Skeleton)",51
383,"Spawn Egg (Spider)",52
383,"Spawn Egg (Zombie)",54
383,"Spawn Egg (Slime)",55
383,"Spawn Egg (Ghast)",56
383,"Spawn Egg (Zombie Pigmen)",57
383,"Spawn Egg (Endermen)",58
383,"Spawn Egg (Cave Spider)",59
383,"Spawn Egg (Silverfish)",60
383,"Spawn Egg (Blaze)",61
383,"Spawn Egg (Magma Cube)",62
383,"Spawn Egg (Bat)",65
383,"Spawn Egg (Witch)",66
383,"Spawn Egg (Pig)",90
383,"Spawn Egg (Sheep)",91
383,"Spawn Egg (Cow)",92
383,"Spawn Egg (Chicken)",93
383,"Spawn Egg (Squid)",94
383,"Spawn Egg (Wolf)",95
383,"Spawn Egg (Mooshroom)",96
383,"Spawn Egg (Ocelot)",98
383,"Spawn Egg (Villager)",120
384,"Bottle of Enchanting",
385,"Fire Charge",
386,"Book and Quill",
387,"Written Book",
388,Emerald,
389,"Item Frame",
390,"Flower Pot",
391,Carrot,
392,Potato,
393,"Baked Potato",
394,"Poisonous Potato",
395,"Empty Map",
396,"Golden Carrot",
397,"Head (Skeleton)",
397,"Head (Wither)",1
397,"Head (Zombie)",2
397,"Head (Steve)",3
397,"Head (Creeper)",4
398,"Carrot on a Stick",
399,"Nether Star",
400,"Pumpkin Pie",
2256,"Music Disk (13)",
2257,"Music Disk (Cat)",
2258,"Music Disk (Blocks)",
2259,"Music Disk (Chirp)",
2260,"Music Disk (Far)",
2261,"Music Disk (Mall)",
2262,"Music Disk (Mellohi)",
2263,"Music Disk (Stal)",
2264,"Music Disk (Strad)",
2265,"Music Disk (Ward)",
2266,"Music Disk (11)",
